title,address,locality,state,postal_code
Abyon | Farmville Detention Center,508 Waterworks Road,Farmville,VA,23901
Adams County Correctional Center,20 Hobo Forks Road,Natchez,MS,39120
Adelanto ICE Processing Center,Adelanto East 10400 Rancho Road | Adelanto West 10250 Rancho Road,Adelanto,CA,92301
Alamance County Detention Center,109 South Maple Street,Graham,NC,27253
Allen Parish Public Safety Complex,7340 Highway 26 W,Oberlin,LA,70655
Baker County Detention Center,1 Sheriff's Office Drive,MacClenny,FL,32063
Bluebonnet Detention Facility,400 2nd Street,Anson,TX,79501
Boone County Jail,3020 Conrad Lane,Burlington,KY,41005
Broward Transitional Center,3900 N. Powerline Road,Pompano Beach,FL,33073
Buffalo (Batavia) Service Processing Center,4250 Federal Drive,Batavia,NY,14020
Butler County Sheriff’s Office,705 Hanover Street,Hamilton,OH,45011
Calhoun County Correctional Center,185 E. Michigan Street,Battle Creek,MI,49014
Campbell County Detention Center,601 Central Avenue,Newport,KY,41071
Caroline Detention Facility,11093 SW Lewis Memorial Dr,Bowling Green,VA,22427
Central Arizona Florence Correctional Center,1100 Bowling Road,Florence,AZ,85132
Central Louisiana ICE Processing Center,830 Pine Hill Road,Jena,LA,71342
Chase County Jail,301 South Walnut,Cottonwood Falls,KS,66845
Chippewa County Correctional Facility,325 Court Street,Sault Ste. Marie,MI,49783
Cibola County Correctional Center,2000 Cibola Loop,Milan,NM,87021
Clark County Jail,501 E Court Avenue,Jeffersonville,IN,47130
Clay County Jail,611 East Jackson Street,Brazil,IN,47834
Clinton County Correctional Facility,58 Pine Mountain Road,McElhattan,PA,17748
Clinton County Jail,25 McCarthy Drive,Plattsburgh,NY,12901
Clinton County Sheriff's Office,301 E Walnut Street,Frankfort,IN,46041
CNMI Department of Corrections,"Vincente Taman Seman Building, Susupe",Saipan,MP,96950
Coastal Bend Detention Center,4909 Farm to Market Road,Robstown,TX,78380
CoreCivic Laredo Processing Center,4702 East Saunders,Laredo,TX,78401
CoreCivic Webb County Detention Center,9998 S. Highway 83,Laredo,TX,78046
Corrections Center of Northwest Ohio (CCNO),03151 Co. Rd. 24.2,Stryker,OH,43557
Cumberland County Jail,50 County Way,Portland,ME,04102
Delaney Hall Detention Facility,451 Doremus Avenue,Newark,NJ,07105
Denver Contract Detention Facility (Aurora),3130 North Oakland Street,Aurora,CO,80010
Desert View Annex,10450 Rancho Road,Adelanto,CA,92301
Dilley Immigration Processing Center,300 El Rancho Way,Dilley,TX,78017
Dodge Detention Facility,216 W. Center Street,Juneau,WI,53039
East Hidalgo Detention Center,1300 E Hwy 107,La Villa,TX,78562
Eden Detention Center,704 E Broadway Street,Eden,TX,76837
El Paso Service Processing Center,8915 Montana Avenue,El Paso,TX,79925
El Valle Detention Facility,1800 Industrial Drive,Raymondville,TX,78580
