State,Facility,Number,Level 1,Level 2,Level 3,Not Convicted
Alabama,ALBIBCF - BIBB CORRECTIONAL CENTER,12,67%,8%,17%,8%
Alabama,ALBTVAL - ALBERTVILLE CITY JAIL,90,2%,1%,19%,78%
Alabama,ALDEPOC - ALABAMA DEPT OF CORRECTION,129,18%,3%,11%,68%
Alabama,ALEXAAL - ALEXANDRIA CITY JAIL,21,0%,10%,48%,43%
Alabama,ALKLBCF - KILBY CORRECTIONAL FACILITY,1,0%,0%,0%,100%
Alabama,ALLIMCF - LIMESTONE CORRECTIONAL FACILITY,4,100%,0%,0%,0%
Alabama,ALVENCF - VENTRESS CORRECTIONAL FACILITY,1,100%,0%,0%,0%
Alabama,ALWHOLD - ALLENWOOD HOLD ROOM,1,0%,0%,0%,100%
Alabama,ALXNDAL - ALEXANDER CITY POLICE DEPT.,7,0%,0%,29%,71%
Alabama,ARBPDAL - ARAB POLICE DEPT.,4,0%,0%,0%,100%
Alabama,AUTAUAL - AUTAUGA COUNTY JAIL,18,0%,0%,39%,61%
Alabama,BALDWAL - BALDWIN COUNTY COR. CENTER,146,3%,1%,30%,65%
Alabama,BARBRAL - BARBOUR COUNTY JAIL,3,0%,0%,33%,67%
Alabama,BHMHOLD - BIRMINGHAM HOLD ROOM,20,0%,0%,5%,95%
Alabama,BLDJVAL - BALWIN CO REG JDC.,2,0%,0%,50%,50%
Alabama,BLOUNAL - BLOUNT COUNTY JAIL,20,0%,0%,15%,85%
Alabama,BOPTDG - TALLADEGA FCI,155,45%,7%,32%,16%
Alabama,BULLOAL - BULLOCK COUNTY JAIL,1,0%,0%,0%,100%
Alabama,BYLBTAL - BAYOU LA BATRE POL DEPT JAIL,8,0%,0%,38%,63%
Alabama,BZCTYAL - BOAZ CITY JAIL,15,0%,0%,7%,93%
Alabama,CALCOAL - CALHOUN COUNTY SHERIFF,35,0%,0%,3%,97%
Alabama,CHAMBAL - CHAMBERS COUNTY JAIL,13,8%,8%,69%,15%
Alabama,CHEROAL - CHEROKEE COUNTY JAIL,4,0%,0%,0%,100%
Alabama,CHLTNAL - CHILTON COUNTY JAIL,145,0%,3%,36%,61%
Alabama,CLACOAL - CLAY COUNTY JAIL,3,0%,0%,0%,100%
Alabama,CLARKAL - CLARKE COUNTY JAIL,5,0%,0%,40%,60%
Alabama,CLBRNAL - CLEBURNE COUNTY JAIL,3,0%,0%,0%,100%
Alabama,CLBRTAL - COLBERT COUNTY JAIL,8,0%,0%,0%,100%
Alabama,CNCUHAL - CONECUH COUNTY JAIL,1,0%,100%,0%,0%
Alabama,COFFEAL - COFFEE COUNTY JAIL,48,0%,6%,21%,73%
Alabama,COOSAAL - COOSA COUNTY JAIL,7,0%,0%,57%,43%
Alabama,COVINAL - COVINGTON COUNTY JAIL,6,33%,0%,33%,33%
Alabama,CRNSHAL - CRENSHAW COUNTY JAIL,4,0%,25%,50%,25%
Alabama,CULMNAL - CULLMAN COUNTY JAIL,59,3%,2%,5%,90%
