detention_facility_code,state
ABRDNWA,WA
ABTHOLD,TX
ABRXSPA,PA
RICRANS,RI
ADACOID,ID
ADAMSWA,WA
ADAMSCO,CO
ADAMSPA,PA
ADDCOVT,VT
ADLNTCA,CA
AGAHOLD,GU
AGC,PR
AIRHOPR,PR
ALAMCNC,NC
ALMHOLD,CO
ALBANWY,WY
ALBCONY,NY
ALBHOLD,NY
ALBEMVA,VA
ABQHOLD,NM
ALEXAVA,VA
JENATLA,LA
BHCALCA,CA
ALHAMCA,CA
ALLEGNY,NY
ALLEGPA,PA
APPSCLA,LA
BOPALM,PA
BOPALF,PA
BOPALP,PA
APIBHCA,CA
AMTHOLD,TX
AGMDCCA,CA
ANCHOAK,AK
ANDROME,ME
ANGELTX,TX
AAORDMD,MD
AKPSYNJ,NJ
ANJUVMN,MN
APACHAZ,AZ
ARAPACO,CO
ARCHUCO,CO
AZDCTUC,AZ
ARDCTEX,AR
ARLCOVA,VA
AROOSME,ME
ARRMCCA,CA
AFRC,NM
NYARTHC,NY
BOPASH,KY
ATASCTX,TX
ATCHIKS,KS
ATTHOLD,TX
ATLANGA,GA
ATLHOLD,GA
ASHRSFL,FL
BOPATW,CA
AUDRNMO,MO
AURORCO,CO
AUSHOLD,TX
AVPARLA,LA
AVWOMLA,LA
IWAHOLD,AZ
CACFBAK,CA
BAKERFL,FL
BKLHOLD,CA
BALDWAL,AL
BALHOLD,MD
BANNOID,ID
BARNSMA,MA
BARRECA,CA
BASCOTX,TX
BOPBAS,TX
BAYCOFL,FL
BAYAMPR,PR
BEACOSD,SD
BOPBMP,TX
BOPBMA,TX
BOPBML,TX
BOPBMM,TX
BEAURLA,LA
BEAVRPA,PA
BVRHDMT,MT
BOPBEC,WV
BEDFOPA,PA
BEDFOOH,OH
BEDCITX,TX
BELKNNH,NH
BELCOTX,TX
BELJUTX,TX
BELPDMI,MI
BEHOSNY,NY
BLHHOLD,WA
BPHOSOH,OH
BENTCCO,CO
BENTOAR,AR
BENTOIA,IA
BENTOWA,WA
BENTOMN,MN
BERGENJ,NJ
BEJUVPA,PA
BEFAMPA,PA
BERKSPA,PA
BESECPA,PA
BRKHOLD,PA
BERNANM,NM
BWDGICA,CA
BWMARCA,CA
ISHOSNY,NY
BEXARTX,TX
BEXJUTX,TX
WCCBXTX,TX
BHCELLA,LA
BIGHOMT,MT
BIGHOWY,WY
BOPBIG,TX
BSCHOLD,TX
BILHOLD,MT
BINGHID,ID
BHMHOLD,AL
BLACKIA,IA
BLAINMT,MT
BLANCTX,TX
BLOUNTN,TN
BLOJVTN,TN
BOIHOLD,ID
BONNRID,ID
BONNEID,ID
BOONEKY,KY
BOSHOLD,MA
BPC,MA
BOTTIND,ND
BOULDCO,CO
BOUNDID,ID
BOXBUNE,NE
BOXELUT,UT
BRADEFL,FL
BRAZITX,TX
BRAZOTX,TX
BREMEIA,IA
BREVDFL,FL
BREWSTX,TX
CTBRICC,CT
MABSHOS,MA
BRINDMA,MA
BRINBMA,MA
BSAHOLD,IL
BROADMT,MT
BHFLDMI,MI
BROPDIL,IL
BROOKSD,SD
BOPBRO,NY
BROKSTX,TX
BROOKTX,TX
BROMMNY,NY
BROOMCO,CO
BROCRFL,FL
BROJAFL,FL
BRGMCFL,FL
WCCPBFL,FL
BROWNSD,SD
BRNPDMI,MI
BRULESD,SD
BRCHOLD,CO
BRYANGA,GA
BSCORTX,TX
BSCDRTX,TX
BSFLTTX,TX
BSGDFTX,TX
BSNTRTX,TX
BUCKSPA,PA
BUENAIA,IA
BTV,NY
NYBUFFC,NY
BUFHOLD,NY
BULLOGA,GA
BURLEND,ND
BURNETX,TX
BUTLEKS,KS
BUTLEOH,OH
BUTLEPA,PA
BOPBUT,NC
SILBOMT,MT
BFGHITX,TX
CBRRSNC,NC
CACHEUT,UT
CALCALA,LA
CALDWMO,MO
CALDWTX,TX
CALHOMI,MI
CAMENCE,CA
CAMENCW,CA
CACTYCA,CA
CASPSAT,CA
CASPCAL,CA
CALLAMO,MO
CAMBRPA,PA
CAMDENJ,NJ
CAMERTX,TX
DODGEIA,IA
CAMCOWY,WY
CANADOK,OK
CANYNID,ID
CARBOPA,PA
CARBOWY,WY
CARROMD,MD
BOPCRW,TX
CARTEOK,OK
CARJAMN,MN
CAJUVMN,MN
CGRMCAZ,AZ
CASSJCA,CA
CASCAMT,MT
CSYJVNY,NY
CSPHOLD,WY
CASSCIA,IA
CASSCND,ND
CASSCNE,NE
CATAHLA,LA
CATTANY,NY
CAYUGNY,NY
CCFAMNV,NV
CCADCAZ,AZ
CCAFLAZ,AZ
CACFLEO,CA
CADCCAL,CA
CEDARNE,NE
CRIHOLD,IA
CEMEDFL,FL
CNTGRIL,IL
CAMEDAZ,AZ
CENTRWV,WV
WACLATX,TX
CVREGVA,VA
CENTRPA,PA
CMEDHPR,PR
CRTOSCA,CA
CHAFFCO,CO
CHARLSD,SD
CHARLSC,SC
CHLHOLD,SC
CHAHOLD,VI
CHRLTFL,FL
CLTHOLD,NC
CHASEKS,KS
