detention_facility,state,state_count
STEWART DETENTION CENTER,GA,1
SOUTH TEXAS ICE PROCESSING CENTER,TX,1
ADELANTO ICE PROCESSING CENTER,CA,1
ELOY FEDERAL CONTRACT FACILITY,AZ,1
TACOMA ICE PROCESSING CENTER (NORTHWEST DET CTR),WA,1
PORT ISABEL,TX,1
LA PALMA CORRECTIONAL CENTER,AZ,1
LASALLE ICE PROCESSING CENTER (JENA),LA,1
TALLAHATCHIE CO CORR FACILITY,MS,1
SOUTH TEXAS FAMILY RESIDENTIAL CENTER,TX,1
OTAY MESA DETENTION CENTER (SAN DIEGO CDF),CA,1
OTERO COUNTY PROCESSING CENTER,NM,1
MONTGOMERY ICE PROCESSING CENTER,TX,1
IAH SECURE ADULT DETENTION FACILITY (POLK),TX,1
HOUSTON CONTRACT DETENTION FACILITY,TX,1
DENVER CONTRACT DETENTION FACILITY,CO,1
PINE PRAIRIE ICE PROCESSING CENTER,LA,1
IRWIN COUNTY DETENTION CENTER,GA,1
JOE CORLEY ICE PROCESSING CENTER,TX,1
EL PASO SERVICE PROCESSING CENTER,TX,1
ESSEX COUNTY CORRECTIONAL FACILITY,NJ,1
KROME NORTH SERVICE PROCESSING CENTER,FL,1
MAIN - FOLKSTON IPC (D RAY JAMES),GA,1
YORK COUNTY PRISON,PA,1
EL VALLE DETENTION FACILITY,TX,1
IMMIGRATION CENTERS OF AMERICA FARMVILLE,VA,1
PRAIRIELAND DETENTION FACILITY,TX,1
IMPERIAL REGIONAL DETENTION FACILITY,CA,1
BROWARD TRANSITIONAL CENTER,FL,1
RIO GRANDE DETENTION CENTER,TX,1
BUFFALO (BATAVIA) SERVICE PROCESSING CENTER,NY,1
WEST TEXAS DETENTION FACILITY,TX,1
TORNILLO-GUADALUPE POE,TX,1
JACKSON PARISH CORRECTIONAL CENTER,LA,1
T DON HUTTO RESIDENTIAL CENTER,TX,1
LA PALMA CORRECTION CENTER - APSO,AZ,1
HUDSON COUNTY CORRECTIONAL CENTER,NJ,1
WINN CORRECTIONAL CENTER,LA,1
KARNES COUNTY CIVIL DETENTION CENTER,TX,1
GLADES COUNTY DETENTION CENTER,FL,1
FLORENCE SERVICE PROCESSING CENTER,AZ,1
BERGEN COUNTY JAIL,NJ,1
WEBB COUNTY DETENTION CENTER (CCA),TX,1
RICHWOOD CORRECTIONAL CENTER,LA,1
MESA VERDE ICE PROCESSING CENTER,CA,1
CIBOLA COUNTY CORRECTIONAL CENTER,NM,1
LAREDO PROCESSING CENTER,TX,1
"CCA, FLORENCE CORRECTIONAL CENTER",AZ,1
JOHNSON COUNTY CORRECTIONS CENTER,TX,1
THEO LACY FACILITY,CA,1
RIVER CORRECTIONAL CENTER,LA,1
SHERBURNE COUNTY JAIL,MN,1
PLYMOUTH COUNTY CORRECTIONAL FACILITY,MA,1
ELIZABETH CONTRACT DETENTION FACILITY,NJ,1
NORTHEAST OHIO CORRECTIONAL CTR (YOUNGSTOWN CDF),OH,1
